AREA_S_CD,AREA_NAME,POPULATION,DENSITY (PER SQ KM),CHILDREN,YOUTH,WORKING_AGE,PRE_RETIREMENT,SENIORS,MEDIAN_HOUSEHOLD_INCOME,MEDIAN_FAMILY_INCOME,WITHOUT_INCOME
1,West Humber-Clairville (1),33312,1117,15,16,42,12,14,70741,78190,5.6
2,Mount Olive-Silverstone-Jamestown (2),32954,7291,22,16,41,11,11,55334,60165,7.3
3,Thistletown-Beaumond Heights (3),10360,3130,17,13,41,12,17,65459,69851,5.0
4,Rexdale-Kipling (4),10529,4229,16,13,41,15,15,63232,78545,5.4
5,Elms-Old Rexdale (5),9456,3306,19,15,39,14,14,59576,68176,6.2
6,Kingsview Village-The Westway (6),22000,4356,19,14,39,11,16,60824,69317,5.5
7,Willowridge-Martingrove-Richview (7),22156,4007,16,12,37,13,22,71584,89083,4.3
8,Humber Heights-Westmount (8),10948,3981,14,11,37,15,22,68996,86340,4.0
9,Edenbridge-Humber Valley (9),15535,2840,14,12,39,16,19,84113,109610,4.3
10,Princess-Rosethorn (10),11051,2138,16,15,34,17,18,139039,159040,4.4
11,Eringate-Centennial-West Deane (11),18588,2171,14,13,37,15,20,88872,104931,4.6
12,Markland Wood (12),10554,3614,13,11,34,17,25,86965,111798,3.5
13,Etobicoke West Mall (13),11848,6582,15,13,44,14,15,63973,76404,5.1
14,Islington-City Centre West (14),43965,2712,13,11,48,12,16,72921,91179,3.5
15,Kingsway South (15),9271,3593,17,12,36,15,21,151552,192638,3.9
16,Stonegate-Queensway (16),25051,3199,16,10,43,15,16,85138,112979,3.7
17,Mimico (includes Humber Bay Shores) (17),33964,4915,10,9,52,14,15,67525,93134,2.7
18,New Toronto (18),11463,3342,14,12,46,14,14,50891,78272,4.5
19,Long Branch (19),10084,4584,13,11,47,15,14,61536,82598,3.0
20,Alderwood (20),12054,2435,15,11,43,15,17,83249,99401,3.4
21,Humber Summit (21),12416,1570,17,14,39,11,19,61373,67581,5.9
22,Humbermede (22),15545,3565,19,15,41,11,14,57609,62982,6.4
23,Pelmo Park-Humberlea (23),10722,2547,16,13,43,13,15,79508,88828,5.4
24,Black Creek (24),21737,6282,21,15,40,11,13,46580,52839,7.0
25,Glenfield-Jane Heights (25),30491,5864,19,15,38,12,16,51964,57577,6.1
26,Downsview-Roding-CFB (26),35052,2337,16,13,43,12,16,57611,68392,5.1
27,York University Heights (27),27593,2086,15,17,44,11,13,53772,62690,5.5
28,Rustic (28),9941,4734,20,14,36,12,17,44904,54804,5.6
29,Maple Leaf (29),10111,4012,15,12,42,12,18,62976,71559,4.8
30,Brookhaven-Amesbury (30),17757,5045,19,14,43,12,12,52988,61770,5.9
31,Yorkdale-Glen Park (31),14804,2451,14,13,41,13,19,63778,78463,4.7
32,Englemount-Lawrence (32),22372,6466,22,14,38,11,15,58003,75672,6.3
33,Clanton Park (33),16472,3979,17,12,45,12,14,69997,86861,4.5
34,Bathurst Manor (34),15873,3377,15,12,43,13,17,69634,84418,4.1
35,Westminster-Branson (35),26274,7339,13,13,41,13,19,54101,64067,5.2
36,Newtonbrook West (36),23831,5070,12,14,44,13,17,54981,64929,6.0
37,Willowdale West (37),16936,5820,11,13,44,13,19,59675,86017,4.3
38,Lansing-Westgate (38),16164,3038,15,13,47,12,13,80384,104954,4.8
39,Bedford Park-Nortown (39),23236,4209,20,14,36,13,17,116672,178300,4.9
40,St.Andrew-Windfields (40),17812,2430,15,14,38,15,18,98420,121124,5.4
41,Bridle Path-Sunnybrook-York Mills (41),9266,1040,16,16,33,16,19,215798,266931,5.0
42,Banbury-Don Mills (42),27695,2775,13,10,40,13,23,77547,104441,4.5
43,Victoria Village (43),17510,3710,15,12,41,13,18,51867,66250,5.3
44,Flemingdon Park (44),21933,9026,20,14,42,11,14,48917,55382,7.8
45,Parkwoods-Donalda (45),34805,4691,17,13,42,12,15,65126,76898,6.5
46,Pleasant View (46),15818,5273,13,13,40,13,20,70189,77976,5.1
